From,To,weight
Andrea Ferretti,Marco Firrincieli,1
Andrea Ferretti,Stefano Pascolutti,1
Francesco Gullo,Gianluca Sabena,1
Francesco Gullo,Ilaria Bordino,1
Francesco Gullo,Marcello Paris,1
Francesco Gullo,Marco Firrincieli,1
Francesco Gullo,Stefano Pascolutti,1
Gianluca Sabena,Ilaria Bordino,1
Gianluca Sabena,Marcello Paris,1
Gianluca Sabena,Marco Firrincieli,1
Gianluca Sabena,Stefano Pascolutti,1
Ilaria Bordino,Marcello Paris,1
Ilaria Bordino,Marco Firrincieli,1
Ilaria Bordino,Stefano Pascolutti,1
Marcello Paris,Marco Firrincieli,1
Marcello Paris,Stefano Pascolutti,1
Marco Firrincieli,Stefano Pascolutti,1
Hông-Ân Cao,Karl Aberer,3
Hông-Ân Cao,Nuno Nunes 0001,3
Hông-Ân Cao,Tri Kurniawan Wijaya,3
Karl Aberer,Nuno Nunes 0001,3
Karl Aberer,Tri Kurniawan Wijaya,3
Nuno Nunes 0001,Tri Kurniawan Wijaya,3
Deepak P 0001,Joemon M. Jose,1
Deepak P 0001,Rami Suleiman Alkhawaldeh,1
Joemon M. Jose,Rami Suleiman Alkhawaldeh,1
Suiping Qi,Xingang Wang,1
Suiping Qi,Zhigang Gai,1
Xingang Wang,Zhigang Gai,1
Marta C. González,Natasha Markuzon,1
Marta C. González,Steven Morse,1
Natasha Markuzon,Steven Morse,1
Hanghang Tong,Jie Tang 0001,2
Hanghang Tong,Keke Cai,1
Hanghang Tong,Michalis Vazirgiannis,1
Hanghang Tong,Yang Yang 0009,1
Hanghang Tong,Zhong Su,1
Jie Tang 0001,Keke Cai,1
Jie Tang 0001,Michalis Vazirgiannis,1
Jie Tang 0001,Yang Yang 0009,1
Jie Tang 0001,Zhong Su,1
Keke Cai,Michalis Vazirgiannis,1
Keke Cai,Yang Yang 0009,1
Keke Cai,Zhong Su,1
Michalis Vazirgiannis,Yang Yang 0009,1
Michalis Vazirgiannis,Zhong Su,1
Yang Yang 0009,Zhong Su,1
Allan Hanbury,Guido Zuccon,2
Allan Hanbury,João R. M. Palotti,2
Guido Zuccon,João R. M. Palotti,1
Abdeltawab M. Hendawi,Hao Wu,1
Abdeltawab M. Hendawi,Haoran Liu,1
Abdeltawab M. Hendawi,Jieming Bin,1
Abdeltawab M. Hendawi,Nada Basit,2
Abdeltawab M. Hendawi,Yijun He,1
Abdeltawab M. Hendawi,Yutong Zhang,1
Hao Wu,Haoran Liu,1
Hao Wu,Jieming Bin,1
Hao Wu,Nada Basit,1
Hao Wu,Yijun He,1
Hao Wu,Yutong Zhang,1
Haoran Liu,Jieming Bin,1
Haoran Liu,Nada Basit,1
Haoran Liu,Yijun He,1
Haoran Liu,Yutong Zhang,1
Jieming Bin,Nada Basit,1
Jieming Bin,Yijun He,1
Jieming Bin,Yutong Zhang,1
Nada Basit,Yijun He,1
Nada Basit,Yutong Zhang,1
Yijun He,Yutong Zhang,1
Gao Cong,Ge Yu 0001,1
Gao Cong,Lisi Chen,1
Gao Cong,Miao Li,1
Gao Cong,Yu Gu 0002,1
Ge Yu 0001,Lisi Chen,1
Ge Yu 0001,Miao Li,1
Ge Yu 0001,Yu Gu 0002,1
Lisi Chen,Miao Li,1
Lisi Chen,Yu Gu 0002,1
Miao Li,Yu Gu 0002,1
Ahmet Küçük,Berkay Aydin,1
Ahmet Küçük,Rafal A. Angryk,1
Berkay Aydin,Rafal A. Angryk,2
Byungsoo Jeon,Jungwoo Lee,1
Byungsoo Jeon,Namyong Park,1
Byungsoo Jeon,U Kang,1
Jungwoo Lee,Namyong Park,1
Jungwoo Lee,U Kang,1
Namyong Park,U Kang,1
John A. Mariani,Matthew Coole,1
John A. Mariani,Paul Rayson,1
Matthew Coole,Paul Rayson,1
Katsuki Fujisawa,Keiichiro Fukazawa,1
Katsuki Fujisawa,Keitaro Oka,1
Katsuki Fujisawa,Koji Inoue,1
Katsuki Fujisawa,Koji Ueno,2
Katsuki Fujisawa,Nozomi Hata,1
Katsuki Fujisawa,Satoshi Imamura,1
Katsuki Fujisawa,Takatsugu Ono,1
Katsuki Fujisawa,Toshio Endo,1
Katsuki Fujisawa,Yuichi Inadomi,1
Katsuki Fujisawa,Yuichiro Yasui,1
Katsuki Fujisawa,Yuta Kakibuka,1
Keiichiro Fukazawa,Keitaro Oka,1
Keiichiro Fukazawa,Koji Inoue,1
Keiichiro Fukazawa,Koji Ueno,1
Keiichiro Fukazawa,Nozomi Hata,1
Keiichiro Fukazawa,Satoshi Imamura,1
Keiichiro Fukazawa,Takatsugu Ono,1
Keiichiro Fukazawa,Toshio Endo,1
